Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
351650,Junho/2020,924.0,8,7,1,0.11,Gabriel Monteiro,-21.5294,-50.5573,3516507,2,Araçatuba
351660,Junho/2020,1097.0,8,19,-11,-0.99,Gália,-22.2918,-49.5504,3516606,8,Marília
351670,Junho/2020,8779.0,178,183,-5,-0.06,Garça,-22.2125,-49.6546,3516705,8,Marília
351680,Junho/2020,210.0,18,34,-16,-7.08,Gastão Vidigal,-20.7948,-50.1912,3516804,2,Araçatuba
351685,Junho/2020,3979.0,22,12,10,0.25,Gavião Peixoto,-21.8367,-48.4957,3516853,1,São Carlos
351690,Junho/2020,1234.0,54,51,3,0.24,General Salgado,-20.6485,-50.364,3516903,2,Araçatuba
351700,Junho/2020,885.0,52,11,41,4.86,Getulina,-21.7961,-49.9312,3517000,4,Bauru
351710,Junho/2020,850.0,8,9,-1,-0.12,Glicério,-21.3812,-50.2123,3517109,2,Araçatuba
351720,Junho/2020,1164.0,27,18,9,0.78,Guaiçara,-21.6195,-49.8013,3517208,4,Bauru
351730,Junho/2020,374.0,3,2,1,0.27,Guaimbê,-21.9091,-49.8986,3517307,4,Bauru
351740,Junho/2020,14761.0,178,250,-72,-0.49,Guaíra,-20.3196,-48.312,3517406,3,Barretos
351750,Junho/2020,4427.0,248,207,41,0.93,Guapiaçu,-20.7959,-49.2172,3517505,13,São José do Rio Preto
351760,Junho/2020,2059.0,4,17,-13,-0.63,Guapiara,-24.1892,-48.5295,3517604,7,Itapeva
351770,Junho/2020,2918.0,28,45,-17,-0.58,Guará,-20.4302,-47.8236,3517703,6,Franca
351780,Junho/2020,1361.0,9,8,1,0.07,Guaraçaí,-21.0292,-51.2119,3517802,2,Araçatuba
351790,Junho/2020,2016.0,72,22,50,2.54,Guaraci,-20.4977,-48.9391,3517901,3,Barretos
351800,Junho/2020,144.0,1,5,-4,-2.7,Guarani d'Oeste,-20.0746,-50.3411,3518008,13,São José do Rio Preto
351810,Junho/2020,816.0,12,11,1,0.12,Guarantã,-21.8942,-49.5914,3518107,4,Bauru
